id,nom,prenom,email,telephone,age,ville,experience_annees,poste_actuel,entreprise_actuelle,education_niveau,diplome,universite,annee_diplome,competences_techniques,competences_langues,langues_niveau,experience_detail,projets,certifications,disponibilite,pretention_salaire
11,Benjelloun,Salma,salma.benjelloun11@email.ma,0658895243,33,Agadir,8,"Responsable SI","Orange Maroc",Bac+5,"Master SI","FST Marrakech",2019,"PHP, Node.js, Symfony, Spring, Docker, Agile, TensorFlow","Anglais, Français, Arabe","Natif, Intermédiaire, Bilingue","Expérience chez Maroc Telecom pendant 8 an(s).","Projet MySQL.",,"2 mois",11920
12,Chaoui,Soukaina,soukaina.chaoui12@email.ma,0639966269,40,Berrechid,15,"Développeur Python",Lydec,Bac+3,"Master Réseaux","Université Hassan II",2014,"MySQL, Angular, REST API, JavaScript, Scrum, PHP, Azure, Linux, Machine Learning","Français, Anglais, Arabe","Courant, Natif, Intermédiaire","Expérience chez Capgemini Maroc pendant 15 an(s).","Projet Machine Learning.",,Immédiate,12181
13,Zahir,Zineb,zineb.zahir13@email.ma,0652785982,30,Agadir,11,"Développeur Full Stack","Société nationale",Bac+2,"Master Réseaux","Université Cadi Ayyad",2015,"Node.js, Spring, JavaScript, Angular, Agile, CI/CD, Java, Python, Tableau, TensorFlow, Linux, AWS","Arabe, Français, Anglais","Courant, Bilingue, Natif","Expérience chez Société nationale pendant 11 an(s).","Projet PHP.",,"3 mois",5331
14,Kabbaj,Laila,laila.kabbaj14@email.ma,0619701604,31,Tanger,10,"Développeur Python","Orange Maroc",Bac+5,"Master Data","UM5 Rabat",2022,"React, PostgreSQL, Node.js, Vue.js, Power BI, JavaScript, TensorFlow, Git, CI/CD, Python, Spring, Pandas","Arabe, Français","Intermédiaire, Courant, Natif","Expérience chez Majorel pendant 10 an(s).","Projet Python.",,"2 mois",7560
15,Ouazzani,Laila,laila.ouazzani15@email.ma,0633882154,23,Kenitra,14,"Consultant SAP",Lydec,Bac+2,"Licence informatique",ENSIAS,2021,"JavaScript, Pandas, Scrum, Laravel, Symfony","Anglais, Français","Bilingue, Courant","Expérience chez Société nationale pendant 14 an(s).","Projet REST API.",AWS,"2 mois",21672
16,Bennani,Yasmina,yasmina.bennani16@email.ma,0611379946,31,Tanger,8,"Développeur Java",Majorel,Bac+2,"Master SI","Université Cadi Ayyad",2014,"Symfony, Tableau, TensorFlow, Angular, Pandas, Kubernetes","Arabe, Français","Intermédiaire, Natif, Courant","Expérience chez Webhelp pendant 8 an(s).","Projet Power BI.",,Immédiate,8335
17,Fassi,Salim,salim.fassi17@email.ma,0646851500,33,Sale,6,"Ingénieur réseau","Groupe Addoha",Bac+5,"Master SI",EHTP,2022,"Git, React, Machine Learning, Docker, Agile, Java, Node.js, Azure, MySQL","Français, Arabe, Anglais","Natif, Courant","Expérience chez Attijariwafa Bank pendant 6 an(s).",,,"1 mois",8578
18,Belkadi,Imane,imane.belkadi18@email.ma,0624598607,43,Taza,11,"Développeur Java",OCP,Bac+5,"Master Data",EMI,2025,"AWS, REST API, Laravel, PHP, Azure, Scrum, Docker, Agile","Anglais, Arabe","Intermédiaire, Bilingue","Expérience chez Webhelp pendant 11 an(s).","Projet Python.",Scrum,Immédiate,9226
19,Tazi,Ibrahim,ibrahim.tazi19@email.ma,0635603650,21,Tanger,5,"Architecte solutions","Deloitte Maroc",Bac+3,"Master MIAGE","Al Akhawayn",2011,"PHP, Linux, AWS, Pandas, Agile, Symfony, React, Scrum, Tableau, REST API","Arabe, Anglais, Français","Courant, Intermédiaire","Expérience chez REDAL pendant 5 an(s).",,,"3 mois",11180
20,Kettani,Nour,nour.kettani20@email.ma,0671403264,27,Khemisset,6,"Développeur .NET",REDAL,Bac+3,"Master Réseaux","Université Cadi Ayyad",2015,"Machine Learning, PHP, PostgreSQL, Docker, TensorFlow, Scrum, Tableau, Node.js, JavaScript","Anglais, Arabe, Français","Courant, Bilingue, Natif","Expérience chez Capgemini Maroc pendant 6 an(s).","Projet Azure.",,"1 mois",25308
21,Chraibi,Aicha,aicha.chraibi21@email.ma,0615651325,22,"El Jadida",13,"Consultant SAP","Maroc Telecom",Bac+3,"Ingénieur d'état",EHTP,2019,"Symfony, Scrum, Machine Learning, Spring, Docker, Tableau, PHP, Power BI, Laravel","Arabe, Anglais","Intermédiaire, Courant","Expérience chez OCP pendant 13 an(s).",,AWS,"2 mois",23623
22,Naciri,Youssef,youssef.naciri22@email.ma,0638795458,50,Khouribga,7,"Consultant SAP","Deloitte Maroc",Bac+3,"Master Big Data","FST Fes",2023,"Machine Learning, React, Agile, Python, Kubernetes, JavaScript, Linux, Tableau","Anglais, Arabe, Français","Courant, Intermédiaire","Expérience chez Maroc Telecom pendant 7 an(s).",,AWS,"1 mois",29431
23,Chraibi,Samira,samira.chraibi23@email.ma,0634913853,33,Mohammedia,2,"Data Scientist","Deloitte Maroc",Bac+5,"Master Data","FST Marrakech",2025,"REST API, Python, PostgreSQL, PHP, Spring, Vue.js, Java, CI/CD","Arabe, Français, Anglais","Natif, Bilingue, Intermédiaire","Expérience chez Deloitte Maroc pendant 2 an(s).",,,"2 mois",20781
24,Sbai,Mohamed,mohamed.sbai24@email.ma,0648799777,33,Khemisset,10,"Chef de projet IT","Royal Air Maroc",Bac+3,"Master SI",ENSI,2013,"MySQL, Laravel, Vue.js, Power BI, React, JavaScript, Machine Learning, Docker, Python","Arabe, Français","Intermédiaire, Courant","Expérience chez Maroc Telecom pendant 10 an(s).","Projet Agile.",,Immédiate,6877
25,Kettani,Amine,amine.kettani25@email.ma,0626795785,54,Oujda,9,"Ingénieur cloud",Inwi,Bac+5,"Master Big Data","FST Marrakech",2018,"Pandas, Node.js, JavaScript, AWS, Kubernetes, Symfony, Vue.js, Tableau, Java, PostgreSQL, Spring","Français, Arabe, Anglais","Bilingue, Courant, Natif","Expérience chez Orange Maroc pendant 9 an(s).",,AWS,"3 mois",17651
26,Mekki,Fatima,fatima.mekki26@email.ma,0661636616,37,Settat,14,"Analyste BI",Lydec,Bac+2,"Ingénieur d'état","UM5 Rabat",2020,"Azure, AWS, JavaScript, PHP, Laravel, Agile","Arabe, Anglais, Français","Natif, Bilingue, Intermédiaire","Expérience chez Capgemini Maroc pendant 14 an(s).","Projet Scrum.",Scrum,"2 mois",11733
27,Bennani,Bilal,bilal.bennani27@email.ma,0656578671,38,Settat,4,"Scrum Master","Groupe Addoha",Bac+2,"Master Réseaux","Université Cadi Ayyad",2016,"Symfony, CI/CD, Kubernetes, TensorFlow, React, MySQL, JavaScript, AWS, Node.js","Arabe, Anglais, Français","Courant, Natif, Bilingue","Expérience chez BMCE pendant 4 an(s).",,,Immédiate,27153
28,Benjelloun,Asmae,asmae.benjelloun28@email.ma,0641641683,50,Khemisset,4,"Développeur .NET","Maroc Telecom",Bac+3,"Master Data",EMI,2019,"Spring, Linux, MySQL, Java, Python, Angular, Agile, Pandas, Node.js","Anglais, Arabe, Français","Bilingue, Intermédiaire","Expérience chez Inwi pendant 4 an(s).","Projet Java.",AWS,Immédiate,28821
29,Chraibi,Salim,salim.chraibi29@email.ma,0679220267,43,Marrakech,9,"Data Engineer","Royal Air Maroc",Bac+2,"Master Big Data",INSEA,2017,"Kubernetes, React, Spring, JavaScript, Angular, Scrum, Node.js, Machine Learning, Linux, CI/CD, Pandas","Arabe, Français","Courant, Bilingue, Natif","Expérience chez Attijariwafa Bank pendant 9 an(s).",,,"2 mois",12999
30,Mekki,Houda,houda.mekki30@email.ma,0649579655,37,Sale,7,"Développeur Java","Orange Maroc",Bac+5,"Licence informatique",ENSI,2017,"Linux, PostgreSQL, Pandas, AWS, SQL","Français, Anglais, Arabe","Bilingue, Intermédiaire, Natif","Expérience chez BMCE pendant 7 an(s).",,PMP,"2 mois",21481
31,Kettani,Rania,rania.kettani31@email.ma,0635651030,33,Fes,2,"Développeur PHP",CGI,Bac+2,"Master Data","Al Akhawayn",2019,"TensorFlow, MySQL, Scrum, REST API, Linux, Machine Learning, React, Java","Arabe, Anglais, Français","Intermédiaire, Natif","Expérience chez Société nationale pendant 2 an(s).",,,"1 mois",25219
32,Fahmi,Nabil,nabil.fahmi32@email.ma,0619885422,43,Casablanca,9,"Ingénieur DevOps","Capgemini Maroc",Bac+5,"Licence informatique","UM5 Rabat",2011,"Python, TensorFlow, Spring, CI/CD, Git, Power BI, Laravel, Angular, Node.js, Symfony","Anglais, Français, Arabe","Bilingue, Natif","Expérience chez Maroc Telecom pendant 9 an(s).","Projet SQL.",Scrum,"3 mois",25384
33,Lamrani,Mehdi,mehdi.lamrani33@email.ma,0614972804,48,Rabat,7,"Développeur Java","Société nationale",Bac+5,"Master SI","Université Hassan II",2023,"Kubernetes, Tableau, Python, Linux, Symfony, Machine Learning, Scrum, TensorFlow, Git, Angular","Anglais, Français","Bilingue, Courant, Natif","Expérience chez CGI pendant 7 an(s).","Projet Tableau.",PMP,Immédiate,13590
34,Tazi,Nadia,nadia.tazi34@email.ma,0615267820,38,Khouribga,13,"Data Scientist","Orange Maroc",Bac+2,"Master Big Data",INSEA,2022,"MySQL, Git, Spring, Python, Laravel, JavaScript, Java, AWS, TensorFlow, Tableau","Anglais, Français","Courant, Intermédiaire, Natif","Expérience chez Webhelp pendant 13 an(s).","Projet TensorFlow.",PMP,"2 mois",26282
35,Kettani,Nabil,nabil.kettani35@email.ma,0616840721,26,"El Jadida",2,"Product Owner","Groupe Addoha",Bac+3,"Master MIAGE",ENSI,2018,"Python, Linux, AWS, Git","Anglais, Arabe","Courant, Intermédiaire, Natif","Expérience chez CGI pendant 2 an(s).","Projet Spring.",PMP,Immédiate,19784
36,Bennani,Adil,adil.bennani36@email.ma,0652389700,53,Khouribga,5,"Ingénieur logiciel","Royal Air Maroc",Bac+5,"Master SI","UM5 Rabat",2022,"Pandas, Python, PHP, Node.js, Tableau, Vue.js, Linux, Angular, PostgreSQL, Machine Learning","Français, Anglais","Natif, Courant, Bilingue","Expérience chez Société nationale pendant 5 an(s).","Projet Python.",,"3 mois",8222
37,Chaoui,Bilal,bilal.chaoui37@email.ma,0678500127,25,Berrechid,13,"Product Owner",BMCE,Bac+2,"Master Big Data",ENSI,2020,"Symfony, Laravel, Docker, Azure, PHP, Python, Agile, MySQL, SQL","Anglais, Arabe","Natif, Intermédiaire, Bilingue","Expérience chez Majorel pendant 13 an(s).","Projet Tableau.",,"1 mois",24905
38,Ouazzani,Hafsa,hafsa.ouazzani38@email.ma,0667218955,49,Meknes,1,"Ingénieur logiciel",REDAL,Bac+5,"Ingénieur d'état",INSEA,2020,"Agile, Laravel, Java, Tableau","Arabe, Anglais, Français","Bilingue, Natif, Courant","Expérience chez CGI pendant 1 an(s).",,,"3 mois",18175
39,"El Amrani",Anas,anas.el.amrani39@email.ma,0672592328,28,Tetouan,0,,,Bac+3,"Master Big Data","Al Akhawayn",2025,"CI/CD, Tableau, React, PHP, Laravel, Python, Power BI","Arabe, Français, Anglais","Intermédiaire, Bilingue, Courant",,,Azure,"1 mois",24328
40,"El Amrani",Amal,amal.el.amrani40@email.ma,0659092633,37,Kenitra,6,"Développeur mobile",Lydec,Bac+2,"Licence informatique","Al Akhawayn",2014,"MySQL, Tableau, Vue.js, Agile","Arabe, Anglais, Français","Natif, Courant","Expérience chez Groupe Addoha pendant 6 an(s).",,Scrum,"2 mois",8023
41,Kabbaj,Salim,salim.kabbaj41@email.ma,0650138911,45,"El Jadida",13,"Développeur Full Stack",Webhelp,Bac+3,"Ingénieur d'état",ENSIAS,2016,"Power BI, Spring, Docker, Tableau, TensorFlow, Scrum, Linux, SQL, Pandas, Vue.js","Arabe, Français","Courant, Intermédiaire, Bilingue","Expérience chez Majorel pendant 13 an(s).",,AWS,"2 mois",25417
42,Alaoui,Zineb,zineb.alaoui42@email.ma,0646151802,25,Marrakech,14,"Scrum Master",BMCE,Bac+5,"Licence informatique",INSEA,2025,"CI/CD, Scrum, Laravel","Arabe, Français","Bilingue, Courant, Intermédiaire","Expérience chez BMCE pendant 14 an(s).",,,"1 mois",6501
43,Belkadi,Samira,samira.belkadi43@email.ma,0626189078,21,Nador,3,"Administrateur système",Webhelp,Bac+3,"Master Data","UM5 Rabat",2013,"CI/CD, Power BI, Machine Learning, React, Laravel, Tableau, JavaScript, Linux, Kubernetes, PostgreSQL, SQL, Scrum","Arabe, Anglais","Intermédiaire, Bilingue, Courant","Expérience chez OCP pendant 3 an(s).",,AWS,"1 mois",21638
44,Idrissi,Nour,nour.idrissi44@email.ma,0666136707,26,Fes,7,"Testeur QA","Attijariwafa Bank",Bac+3,"Licence informatique","Al Akhawayn",2025,"Machine Learning, Kubernetes, TensorFlow, Java, Vue.js, Spring, Azure, MySQL","Français, Anglais","Intermédiaire, Bilingue","Expérience chez Deloitte Maroc pendant 7 an(s).","Projet REST API.",AWS,"2 mois",5140
45,Mekki,Reda,reda.mekki45@email.ma,0648644109,45,Tanger,14,"Développeur Python","Orange Maroc",Bac+2,"Master Réseaux","Al Akhawayn",2018,"Kubernetes, Docker, Power BI, Spring, Python, React, SQL, Machine Learning, JavaScript, Node.js","Anglais, Arabe, Français","Bilingue, Natif","Expérience chez OCP pendant 14 an(s).","Projet Linux.",PMP,"1 mois",26457
46,Bennani,Iman,iman.bennani46@email.ma,0670053837,47,Inezgane,7,"Ingénieur réseau","Maroc Telecom",Bac+5,"Licence informatique",ENSIAS,2013,"Laravel, Symfony, Pandas, Power BI, React, Machine Learning, AWS, PHP, Angular","Français, Arabe","Courant, Bilingue","Expérience chez Capgemini Maroc pendant 7 an(s).","Projet Vue.js.",Scrum,"3 mois",15699
47,Naciri,Youssef,youssef.naciri47@email.ma,0635736470,51,Inezgane,11,"Développeur .NET",CGI,Bac+3,"Master MIAGE",INSEA,2018,"Docker, AWS, Machine Learning, Kubernetes, PHP, SQL","Arabe, Français, Anglais","Natif, Bilingue, Intermédiaire","Expérience chez Majorel pendant 11 an(s).","Projet Node.js.",,Immédiate,15438
48,Idrissi,Soukaina,soukaina.idrissi48@email.ma,0655682492,25,Khemisset,2,"Analyste BI",CGI,Bac+2,"Master Réseaux","UM5 Rabat",2021,"Java, Angular, Kubernetes, Azure, Pandas, Laravel, Python, JavaScript, Linux, Tableau, Vue.js","Français, Arabe, Anglais","Bilingue, Courant, Intermédiaire","Expérience chez Capgemini Maroc pendant 2 an(s).","Projet Pandas.",PMP,"2 mois",7560
49,Tazi,Bilal,bilal.tazi49@email.ma,0672980835,25,Tanger,6,"Chef de projet IT","Société nationale",Bac+5,"Master MIAGE",EHTP,2019,"Java, Spring, Angular, Pandas, Kubernetes, PHP, JavaScript, Tableau, AWS","Anglais, Français, Arabe","Bilingue, Natif","Expérience chez Majorel pendant 6 an(s).",,Azure,"3 mois",9779
50,Ouazzani,Fatima,fatima.ouazzani50@email.ma,0642878724,38,Mohammedia,8,"Développeur PHP","Maroc Telecom",Bac+2,"Licence informatique",INSEA,2022,"Agile, TensorFlow, CI/CD, MySQL, Node.js, Azure, Power BI","Français, Anglais","Intermédiaire, Natif","Expérience chez REDAL pendant 8 an(s).","Projet CI/CD.",,"1 mois",14649
51,Belkadi,Younes,younes.belkadi51@email.ma,0612065472,22,Oujda,5,"Administrateur système",CGI,Bac+3,"Master MIAGE","Université Hassan II",2011,"MySQL, PHP, CI/CD, Vue.js, JavaScript, Angular, REST API, Git","Anglais, Français","Natif, Bilingue","Expérience chez Orange Maroc pendant 5 an(s).","Projet Node.js.",Scrum,"3 mois",26521
52,Kabbaj,Samira,samira.kabbaj52@email.ma,0674932208,30,Agadir,4,"Responsable SI","Orange Maroc",Bac+3,"Licence informatique","Al Akhawayn",2024,"Node.js, Agile, PostgreSQL, PHP","Arabe, Français, Anglais","Intermédiaire, Courant","Expérience chez Webhelp pendant 4 an(s).","Projet Machine Learning.",AWS,"3 mois",22894
53,Bennani,Tarik,tarik.bennani53@email.ma,0658804111,39,Fes,14,"Ingénieur logiciel",BMCE,Bac+2,"Licence informatique","FST Fes",2021,"PHP, CI/CD, Linux, Laravel, Agile, Kubernetes, Scrum, JavaScript, Azure, REST API, Java, Docker","Français, Arabe","Courant, Intermédiaire","Expérience chez Société nationale pendant 14 an(s).",,Azure,"1 mois",8427
54,Chraibi,Youssef,youssef.chraibi54@email.ma,0641533715,22,Khouribga,12,"Développeur Java",CGI,Bac+5,"Master SI",EMI,2012,"MySQL, AWS, PHP","Arabe, Anglais, Français","Natif, Courant","Expérience chez BMCE pendant 12 an(s).",,PMP,"3 mois",20716
55,Naciri,Hafsa,hafsa.naciri55@email.ma,0675629252,38,Mohammedia,12,"Product Owner",REDAL,Bac+2,"Ingénieur d'état",EHTP,2017,"Agile, Python, PostgreSQL, Pandas, JavaScript, SQL, Kubernetes, Node.js, REST API, AWS","Anglais, Arabe","Courant, Bilingue, Intermédiaire","Expérience chez Orange Maroc pendant 12 an(s).",,PMP,Immédiate,26065
56,Kettani,Yasmina,yasmina.kettani56@email.ma,0651706067,33,Kenitra,14,"Testeur QA","Orange Maroc",Bac+5,"Ingénieur d'état","Université Hassan II",2024,"Symfony, Node.js, Azure, Machine Learning, Kubernetes, JavaScript, PHP, Linux, Angular","Arabe, Anglais","Bilingue, Natif","Expérience chez OCP pendant 14 an(s).",,,"3 mois",29815
57,Berrada,Houda,houda.berrada57@email.ma,0645362167,21,Tanger,2,"Analyste BI","Société nationale",Bac+2,"Ingénieur d'état","Al Akhawayn",2016,"Agile, Power BI, Spring, Kubernetes, Pandas, JavaScript, Machine Learning, Java","Arabe, Anglais","Courant, Natif, Intermédiaire","Expérience chez Société nationale pendant 2 an(s).","Projet SQL.",Scrum,Immédiate,17511
58,Drissi,Meryem,meryem.drissi58@email.ma,0673244833,30,Oujda,13,"Consultant SAP",CGI,Bac+3,"Master Data",INSEA,2020,"Machine Learning, Java, Kubernetes, Azure, Spring, TensorFlow, Node.js, CI/CD","Français, Anglais, Arabe","Bilingue, Courant, Intermédiaire","Expérience chez Webhelp pendant 13 an(s).","Projet Azure.",,Immédiate,19521
59,Alaoui,Soukaina,soukaina.alaoui59@email.ma,0616844324,37,Settat,3,"Architecte solutions","Capgemini Maroc",Bac+2,"Master SI",ENSIAS,2023,"MySQL, Machine Learning, Java, Azure, CI/CD, Tableau, AWS, PostgreSQL","Français, Arabe, Anglais","Intermédiaire, Courant, Natif","Expérience chez Maroc Telecom pendant 3 an(s).",,,"2 mois",18350
60,Alaoui,Hafsa,hafsa.alaoui60@email.ma,0677026420,29,Oujda,5,"Scrum Master","Deloitte Maroc",Bac+3,"Master MIAGE",ENSIAS,2013,"Java, Docker, SQL, Spring","Français, Anglais","Natif, Bilingue, Courant","Expérience chez CGI pendant 5 an(s).","Projet SQL.",,"1 mois",19632
61,Fahmi,Salma,salma.fahmi61@email.ma,0625755353,52,Marrakech,14,"Développeur Python","Attijariwafa Bank",Bac+2,"Master SI","Université Hassan II",2011,"REST API, Node.js, Angular, CI/CD, AWS, Git, Vue.js","Arabe, Français","Intermédiaire, Courant, Natif","Expérience chez Attijariwafa Bank pendant 14 an(s).","Projet Pandas.",AWS,"2 mois",15750
62,Bennani,Younes,younes.bennani62@email.ma,0653922410,49,Nador,1,"Scrum Master","Capgemini Maroc",Bac+2,"Master Réseaux",INSEA,2014,"Machine Learning, Agile, SQL, Vue.js, MySQL, TensorFlow, Spring, Python, Docker, React, Laravel, REST API","Arabe, Anglais","Bilingue, Natif, Intermédiaire","Expérience chez Inwi pendant 1 an(s).","Projet Tableau.",,"1 mois",9951
63,Drissi,Mohamed,mohamed.drissi63@email.ma,0665054383,27,Marrakech,1,"Ingénieur logiciel","Capgemini Maroc",Bac+5,"Master Data",ENSI,2017,"PostgreSQL, React, Pandas, Kubernetes, MySQL, Spring, Agile, Linux","Arabe, Français","Bilingue, Courant","Expérience chez Maroc Telecom pendant 1 an(s).",,,"3 mois",25457
64,Chraibi,Zakaria,zakaria.chraibi64@email.ma,0657381560,32,Fes,14,"Architecte solutions","Maroc Telecom",Bac+5,"Licence informatique",ENSI,2025,"PostgreSQL, Machine Learning, Git, Symfony, REST API, React, Pandas, SQL","Français, Arabe","Courant, Intermédiaire","Expérience chez BMCE pendant 14 an(s).","Projet Azure.",,"2 mois",21577
65,Benjelloun,Salma,salma.benjelloun65@email.ma,0669435022,29,Mohammedia,3,"Développeur Java","Orange Maroc",Bac+2,"Master SI","FST Marrakech",2017,"Vue.js, REST API, Node.js, Python, CI/CD, PostgreSQL","Arabe, Français, Anglais","Intermédiaire, Courant","Expérience chez CGI pendant 3 an(s).","Projet Symfony.",Azure,Immédiate,12807
66,Moussaoui,Sara,sara.moussaoui66@email.ma,0674909491,27,Oujda,0,,,Bac+3,"Master Big Data",ENSI,2022,"Docker, Spring, MySQL, Git, Linux, Java, PostgreSQL, Tableau","Français, Anglais, Arabe","Intermédiaire, Bilingue",,,Scrum,"2 mois",20594
67,Lamrani,Nour,nour.lamrani67@email.ma,0625072536,41,Casablanca,6,"Chef de projet IT",Lydec,Bac+2,"Master Data","Université Hassan II",2018,"SQL, Scrum, Node.js, JavaScript, Pandas, Python, Java","Anglais, Français, Arabe","Intermédiaire, Courant","Expérience chez REDAL pendant 6 an(s).","Projet Angular.",Azure,"3 mois",23444
68,Rami,Fatima,fatima.rami68@email.ma,0663891837,33,Sale,10,"Data Engineer",OCP,Bac+2,"Master Big Data",INSEA,2014,"Python, CI/CD, Laravel, Azure, Machine Learning","Anglais, Arabe","Natif, Bilingue","Expérience chez Royal Air Maroc pendant 10 an(s).",,Azure,Immédiate,10767
69,Sefrioui,Youssef,youssef.sefrioui69@email.ma,0632593748,41,Fes,9,"Ingénieur DevOps","Capgemini Maroc",Bac+2,"Master MIAGE",EHTP,2019,"TensorFlow, SQL, AWS, Java, Tableau, Vue.js, Agile, Python, Power BI, JavaScript, Angular","Anglais, Arabe","Natif, Bilingue","Expérience chez Webhelp pendant 9 an(s).","Projet MySQL.",Azure,"1 mois",5893
70,Drissi,Hafsa,hafsa.drissi70@email.ma,0677792442,45,Agadir,5,"Analyste BI","Capgemini Maroc",Bac+5,"Master MIAGE","FST Fes",2013,"Symfony, Laravel, Java, TensorFlow, CI/CD, Tableau","Français, Anglais, Arabe","Bilingue, Courant","Expérience chez Royal Air Maroc pendant 5 an(s).","Projet SQL.",,"1 mois",27921
71,Drissi,Bilal,bilal.drissi71@email.ma,0660709830,47,Fes,8,"Ingénieur logiciel","Deloitte Maroc",Bac+3,"Master Data","FST Marrakech",2024,"REST API, Kubernetes, SQL","Français, Arabe, Anglais","Bilingue, Natif","Expérience chez Société nationale pendant 8 an(s).","Projet SQL.",Azure,"1 mois",14172
72,Fahmi,Anas,anas.fahmi72@email.ma,0671264791,28,Sale,15,"Consultant SAP",OCP,Bac+5,"Master Réseaux","Université Cadi Ayyad",2011,"JavaScript, TensorFlow, PostgreSQL, Laravel, Linux, Symfony, REST API, CI/CD","Arabe, Français","Intermédiaire, Bilingue, Courant","Expérience chez Royal Air Maroc pendant 15 an(s).","Projet Angular.",,"2 mois",19259
73,Chraibi,Amine,amine.chraibi73@email.ma,0656768261,47,Mohammedia,1,"Scrum Master","Orange Maroc",Bac+2,"Licence informatique","UM5 Rabat",2025,"Angular, AWS, PHP, REST API, Python, Spring","Anglais, Arabe","Bilingue, Courant, Intermédiaire","Expérience chez Orange Maroc pendant 1 an(s).","Projet Docker.",,"1 mois",4274
74,Chraibi,Ibrahim,ibrahim.chraibi74@email.ma,0636685075,35,Marrakech,2,"Ingénieur logiciel","Attijariwafa Bank",Bac+5,"Licence informatique","Université Hassan II",2021,"MySQL, React, SQL, Angular","Anglais, Français, Arabe","Bilingue, Courant, Intermédiaire","Expérience chez Deloitte Maroc pendant 2 an(s).",,Scrum,"2 mois",13297
